,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
2266,tgr,Tigré,Semitic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
2268,tha,Thai,Kam-Tai,Tai-Kadai,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2271,thn,Thangmi,Mahakiranti,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
2272,tho,Thompson,Interior Salish,Salishan,North America,7 No dominant order,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2276,thu,Thulung,Mahakiranti,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
2278,thy,Kuuk Thaayorre,Northern Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2280,tib,Tibetan (Standard Spoken),Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2282,tid,Tidore,North Halmaheran,West Papuan,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
2284,tig,Tigrinya,Semitic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
2287,tim,Timugon,North Borneo,Austronesian,Papunesia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2288,tin,Tinrin,Oceanic,Austronesian,Papunesia,7 No dominant order,3 No dominant order,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2291,tiv,Tiv,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,3 No dominant order,1 VNeg,4 None,2 VNeg,4 None
2292,tiw,Tiwi,Tiwian,Tiwian,Australia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
2293,tja,Tiipay (Jamul),Yuman,Hokan,North America,1 SOV,1 SV,1 OV,4 Only internally-headed relative clauses,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
2296,tkl,Takelma,Takelma,Takelma,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2299,tla,Tolai,Oceanic,Austronesian,Papunesia,2 SVO,3 No dominant order,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
2303,tli,Tlingit,Tlingit,Na-Dene,North America,1 SOV,1 SV,1 OV,3 No dominant order,4 None,1 NegV,1 NegV,4 None
2306,tlp,Tlapanec,Subtiaba-Tlapanec,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
2308,tma,Tama,Taman,Eastern Sudanic,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
2313,tml,Tamil,Southern Dravidian,Dravidian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
2314,tmm,Tamabo,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
2315,tmn,Temein,Temein,Eastern Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
2316,tmo,Tibetan (Modern Literary),Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
2318,tmr,Temiar,Aslian,Austro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
