,wals_code,Name,genus,family,macroarea,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,87A Order of Adjective and Noun,143F Postverbal Negative Morphemes,143E Preverbal Negative Morphemes,143A Order of Negative Morpheme and Verb,143G Minor morphological means of signaling negation
462,ckr,Canela-Krahô,Ge-Kaingang,Macro-Ge,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
467,cle,Chinantec (Lealao),Chinantecan,Oto-Manguean,North America,4 VOS,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
468,cln,Cholón,Cholon,Cholon,South America,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
473,cmh,Chemehuevi,Numic,Uto-Aztecan,North America,7 No dominant order,1 SV,3 No dominant order,3 No dominant order,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
476,cmn,Comanche,Numic,Uto-Aztecan,North America,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
479,cmy,Chontal Maya,Mayan,Mayan,North America,2 SVO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
482,cnt,Cantonese,Chinese,Sino-Tibetan,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
484,coc,Cocama,Tupi-Guaraní,Tupian,South America,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
491,coo,Coos (Hanis),Coosan,Oregon Coast,North America,7 No dominant order,2 VS,3 No dominant order,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
492,cop,Coptic,Egyptian-Coptic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,3 NegV&[Neg-V],15 OptDoubleNeg,4 None
496,cpl,Chinantec (Palantla),Chinantecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
497,cpn,Chepang,Mahakiranti,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
499,cpy,Chipaya,Uru-Chipaya,Uru-Chipaya,South America,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
508,crn,Cornish,Celtic,Indo-European,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
518,cso,Chatino (Sierra Occidental),Zapotecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
522,ctl,Catalan,Romance,Indo-European,Eurasia,2 SVO,3 No dominant order,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
523,ctm,Chitimacha,Chitimacha,Chitimacha,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
527,cub,Cubeo,Tucanoan,Tucanoan,South America,5 OVS,2 VS,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
529,cui,Cuiba,Guahiban,Guahiban,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
532,cup,Cupeño,California Uto-Aztecan,Uto-Aztecan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
539,cya,Chatino (Yaitepec),Zapotecan,Oto-Manguean,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
542,cyv,Cayuvava,Cayuvava,Cayuvava,South America,4 VOS,2 VS,2 VO,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
543,cze,Czech,Slavic,Indo-European,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
547,dag,Daga,Dagan,Dagan,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
551,dan,Dan,Eastern Mande,Mande,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
563,dds,Donno So,Dogon,Dogon,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
565,deg,Degema,Edoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,3 No dominant order,4 None,2 [Neg-V],14 ObligDoubleNeg,1 NegTone
568,des,Desano,Tucanoan,Tucanoan,South America,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
570,deu,Deuri,Bodo-Garo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
571,dga,Dagaare,Gur,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
572,dgb,Dagbani,Gur,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
575,dgo,Dongo,Ubangi,Niger-Congo,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
576,dgr,Dagur,Mongolic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
578,dha,Dhaasanac,Lowland East Cushitic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
582,dhm,Dhimal,Dhimalic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
586,did,Didinga,Surmic,Eastern Sudanic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
587,die,Diegueño (Mesa Grande),Yuman,Hokan,North America,1 SOV,1 SV,1 OV,4 Only internally-headed relative clauses,1 VNeg,4 None,2 VNeg,4 None
588,dig,Digaro,Digaroan,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
589,dim,Dime,South Omotic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
590,din,Dinka,Nilotic,Eastern Sudanic,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
591,dio,Diola-Fogny,Northern Atlantic,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
592,diy,Diyari,Central Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
595,dji,Djingili,Djingili,Mirndi,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
596,djm,Djambarrpuyngu,Western Pama-Nyungan,Pama-Nyungan,Australia,7 No dominant order,3 No dominant order,3 No dominant order,3 No dominant order,4 None,1 NegV,1 NegV,4 None
602,dma,Duma,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
612,dom,Domari,Indic,Indo-European,Eurasia,7 No dominant order,2 VS,2 VO,1 Adjective-Noun,2 [V-Neg],3 NegV&[Neg-V],15 OptDoubleNeg,4 None
615,doy,Doyayo,Adamawa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,3 VNeg&[V-Neg],1 NegV,16 OptTripleNeg&ObligDoubleNeg,1 NegTone
616,dre,Drehu,Oceanic,Austronesian,Papunesia,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
619,drm,Darma,Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
620,dsh,Danish,Germanic,Indo-European,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
622,dua,Duala,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
624,duk,Duka,Kainji,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
626,dum,Dumo,Western Skou,Skou,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
627,dun,Duna,Duna,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,3 VNeg&[V-Neg],2 [Neg-V],15 OptDoubleNeg,4 None
628,dut,Dutch,Germanic,Indo-European,Eurasia,7 No dominant order,1 SV,3 No dominant order,1 Adjective-Noun,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
630,dyi,Dyirbal,Northern Pama-Nyungan,Pama-Nyungan,Australia,7 No dominant order,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
636,ega,Ega,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
637,egn,Engenni,Edoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,4 None,5 Negative Tone,1 NegTone
638,eip,Eipo,Mek,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
645,eme,Émérillon,Tupi-Guaraní,Tupian,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
649,ene,Enets,Samoyedic,Uralic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
650,eng,English,Germanic,Indo-European,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
651,eno,Enggano,Enggano,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
653,epe,Epena Pedee,Choco,Choco,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
654,erk,Efate (South),Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
655,err,Erromangan,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
656,ese,Ese Ejja,Tacanan,Tacanan,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
659,est,Estonian,Finnic,Uralic,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
662,eve,Evenki,Tungusic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
663,evn,Even,Tungusic,Altaic,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
665,ewe,Ewe,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
666,ewo,Ewondo,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,1 NegTone
675,fij,Fijian,Oceanic,Austronesian,Papunesia,7 No dominant order,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
676,fin,Finnish,Finnic,Uralic,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
684,fon,Fongbe,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
689,fre,French,Romance,Indo-European,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
693,fua,Fula (Cameroonian),Northern Atlantic,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
697,fur,Fur,Fur,Fur,Africa,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],2 [Neg-V],14 ObligDoubleNeg,4 None
699,fut,Futuna-Aniwa,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
701,fye,Fyem,Platoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
702,ga,Gã,Kwa,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
705,gae,Gaelic (Scots),Celtic,Indo-European,Eurasia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
707,gah,Gahuku,Eastern Highlands,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,3 No dominant order,2 [V-Neg],4 None,4 [V-Neg],4 None
708,gal,Galo,Tani,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
712,gar,Garo,Bodo-Garo,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
717,gbb,Gbeya Bossangoa,Gbaya-Manza-Ngbaka,Niger-Congo,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
720,gbk,Gbaya Kara,Gbaya-Manza-Ngbaka,Niger-Congo,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,4 None,2 VNeg,4 None
729,gds,Gadsup,Eastern Highlands,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
730,gel,Gela,Oceanic,Austronesian,Papunesia,4 VOS,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
731,geo,Georgian,Kartvelian,Kartvelian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
732,ger,German,Germanic,Indo-European,Eurasia,7 No dominant order,1 SV,3 No dominant order,1 Adjective-Noun,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
735,ggu,Gureng Gureng,Southeastern Pama-Nyungan,Pama-Nyungan,Australia,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
739,ghr,Bunan,Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
742,gim,Gimira,North Omotic,Afro-Asiatic,Africa,1 SOV,1 SV,1 OV,3 No dominant order,2 [V-Neg],4 None,4 [V-Neg],4 None
747,gjj,Guajajara,Tupi-Guaraní,Tupian,South America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
749,gla,Gelao,Kadai,Tai-Kadai,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
752,gln,Golin,Chimbu,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
758,gmw,Gumawana,Oceanic,Austronesian,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
759,gmz,Gumuz,Gumuz,Gumuz,Africa,2 SVO,1 SV,2 VO,3 No dominant order,1 VNeg,4 None,2 VNeg,4 None
761,gnb,Gunbalang,Gunwinygic,Gunwinyguan,Australia,2 SVO,1 SV,2 VO,1 Adjective-Noun,2 [V-Neg],3 NegV&[Neg-V],16 OptTripleNeg&ObligDoubleNeg,4 None
766,goa,Goajiro,Caribbean Arawakan,Arawakan,South America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
768,goe,Goemai,West Chadic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
771,gok,Gokana,Cross River,Niger-Congo,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
773,gon,Gondi,South-Central Dravidian,Dravidian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
774,goo,Gooniyandi,Bunuban,Bunuban,Australia,7 No dominant order,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
778,grb,Grebo,Kru,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
780,grf,Garífuna,Caribbean Arawakan,Arawakan,North America,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
782,grj,Guarijío,Tarahumaran,Uto-Aztecan,North America,7 No dominant order,3 No dominant order,3 No dominant order,3 No dominant order,4 None,1 NegV,1 NegV,4 None
783,grk,Greek (Modern),Greek,Indo-European,Eurasia,7 No dominant order,3 No dominant order,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
788,grr,Garrwa,Garrwan,Garrwan,Australia,7 No dominant order,3 No dominant order,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
791,grw,Greenlandic (West),Eskimo,Eskimo-Aleut,Eurasia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
798,gua,Guaraní,Tupi-Guaraní,Tupian,South America,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
799,gud,Gude,Biu-Mandara,Afro-Asiatic,Africa,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
802,gug,Gugada,Western Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],1 NegV,8 Type 1 / Type 4,4 None
803,guh,Guhu-Samane,Binanderean,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
804,guj,Gujarati,Indic,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
805,gul,Gula (in Central African Republic),Bongo-Bagirmi,Central Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
809,gur,Gurung,Bodic,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
812,guu,Guugu Yimidhirr,Northern Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
815,gwa,Gwari,Nupoid,Niger-Congo,Africa,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
822,hai,Haida,Haida,Haida,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],1 NegV,14 ObligDoubleNeg,4 None
824,hal,Halia,Oceanic,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
825,ham,Hamtai,Angan,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
828,hat,Hatam,Hatam,West Papuan,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
829,hau,Hausa,West Chadic,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
831,haw,Hawaiian,Oceanic,Austronesian,Papunesia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
832,hay,Hayu,Mahakiranti,Sino-Tibetan,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
835,hdi,Hdi,Biu-Mandara,Afro-Asiatic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,1 VNeg,4 None,14 ObligDoubleNeg,4 None
836,heb,Hebrew (Modern),Semitic,Afro-Asiatic,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
837,heh,Hehe,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
838,hei,Heiltsuk,Northern Wakashan,Wakashan,North America,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
843,hid,Hidatsa,Core Siouan,Siouan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
844,hil,Hiligaynon,Greater Central Philippine,Austronesian,Papunesia,3 VSO,2 VS,2 VO,3 No dominant order,4 None,1 NegV,1 NegV,4 None
845,hin,Hindi,Indic,Indo-European,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
846,hix,Hixkaryana,Cariban,Cariban,South America,5 OVS,2 VS,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
851,hlp,Hualapai,Yuman,Hokan,North America,1 SOV,1 SV,1 OV,2 Noun-Adjective,1 VNeg,1 NegV,15 OptDoubleNeg,4 None
852,hlu,Halkomelem (Upriver),Central Salish,Salishan,North America,3 VSO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
856,hmi,Huitoto (Minica),Huitoto,Huitotoan,South America,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
857,hmo,Hmong Njua,Hmong-Mien,Hmong-Mien,Eurasia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
860,hna,Mina,Biu-Mandara,Afro-Asiatic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
861,hnd,Hunde,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
866,hoa,Hoava,Oceanic,Austronesian,Papunesia,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
868,hol,Holoholo,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
869,hop,Hopi,Hopi,Uto-Aztecan,North America,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
870,hpd,Hup,Nadahup,Nadahup,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
875,htc,Huastec,Mayan,Mayan,North America,2 SVO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
877,hua,Hua,Eastern Highlands,Trans-New Guinea,Papunesia,1 SOV,1 SV,1 OV,1 Adjective-Noun,4 None,2 [Neg-V],3 [Neg-V],4 None
878,huc,=|Hoan,=|Hoan,Kxa,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
880,hum,Huitoto (Murui),Huitoto,Huitotoan,South America,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
881,hun,Hungarian,Ugric,Uralic,Eurasia,7 No dominant order,1 SV,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
882,hup,Hupa,Athapaskan,Na-Dene,North America,7 No dominant order,3 No dominant order,3 No dominant order,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
883,hve,Huave (San Mateo del Mar),Huavean,Huavean,North America,2 SVO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
886,hya,Haya,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
888,hzb,Hunzib,Avar-Andic-Tsezic,Nakh-Daghestanian,Eurasia,1 SOV,1 SV,1 OV,1 Adjective-Noun,2 [V-Neg],4 None,4 [V-Neg],4 None
889,iaa,Iaai,Oceanic,Austronesian,Papunesia,2 SVO,2 VS,2 VO,1 Adjective-Noun,4 None,1 NegV,1 NegV,4 None
892,iba,Iban,Malayo-Sumbawan,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
895,ice,Icelandic,Germanic,Indo-European,Eurasia,2 SVO,1 SV,2 VO,1 Adjective-Noun,1 VNeg,1 NegV,6 Type 1 / Type 2,4 None
897,idn,Iduna,Oceanic,Austronesian,Papunesia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
901,ifm,Ifumu,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,1 NegV,14 ObligDoubleNeg,4 None
905,ige,Igede,Idomoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
907,igs,Ingessana,Eastern Jebel,Eastern Sudanic,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,1 VNeg,4 None,2 VNeg,4 None
910,ijo,Ijo (Kolokuma),Ijoid,Ijoid,Africa,1 SOV,1 SV,1 OV,1 Adjective-Noun,3 VNeg&[V-Neg],4 None,10 Type 2 / Type 4,4 None
911,ik,Ik,Kuliak,Eastern Sudanic,Africa,3 VSO,2 VS,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
912,ika,Ika,Arhuacic,Chibchan,South America,1 SOV,1 SV,1 OV,2 Noun-Adjective,2 [V-Neg],4 None,4 [V-Neg],4 None
913,ila,Ila,Bantoid,Niger-Congo,Africa,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,2 [Neg-V],3 [Neg-V],4 None
917,ina,Inanwatan,South Bird's Head,Marind,Papunesia,7 No dominant order,1 SV,3 No dominant order,2 Noun-Adjective,2 [V-Neg],1 NegV,15 OptDoubleNeg,4 None
918,ind,Indonesian,Malayo-Sumbawan,Austronesian,Papunesia,2 SVO,1 SV,2 VO,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
921,inn,Innamincka,Central Pama-Nyungan,Pama-Nyungan,Australia,1 SOV,1 SV,1 OV,2 Noun-Adjective,4 None,1 NegV,1 NegV,4 None
